,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
295,Spencer Dinwiddie,PG,29,TOT,59,59,34.1,5.8,13.0,0.44799999999999995,2.5,6.4,0.39399999999999996,3.3,6.6,0.5,0.544,3.3,4.0,0.828,0.3,2.8,3.2,5.3,0.8,0.3,1.7,2.4,17.5
296,Kessler Edwards,SF,22,TOT,16,1,5.8,0.4,1.8,0.214,0.1,0.9,0.14300000000000002,0.3,0.9,0.28600000000000003,0.25,0.1,0.1,0.5,0.4,0.6,1.0,0.3,0.2,0.1,0.3,0.2,0.9
297,Bruno Fernando,C,24,TOT,33,4,11.2,1.5,2.9,0.521,0.0,0.0,0.0,1.5,2.9,0.526,0.521,0.9,1.3,0.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9
298,Dorian Finney-Smith,PF,29,TOT,46,46,31.8,3.1,7.7,0.408,1.8,5.3,0.342,1.3,2.4,0.555,0.525,0.7,1.0,0.733,1.7,3.3,5.0,1.5,0.9,0.4,0.9,2.1,8.8
299,Eric Gordon,SG,34,TOT,51,47,29.6,4.3,9.8,0.434,1.8,5.0,0.35,2.5,4.8,0.523,0.524,2.3,2.8,0.821,0.3,1.8,2.1,2.9,0.6,0.4,1.7,1.0,12.6
300,Devonte' Graham,PG,27,TOT,59,1,16.6,1.9,5.2,0.36200000000000004,1.4,4.1,0.34299999999999997,0.5,1.1,0.435,0.498,1.0,1.3,0.747,0.3,1.2,1.5,2.4,0.6,0.2,0.5,0.9,6.1
301,Danny Green,SG,35,TOT,6,0,11.8,1.0,3.2,0.316,1.0,2.5,0.4,0.0,0.7,0.0,0.474,0.2,0.2,1.0,0.2,0.7,0.8,0.3,0.3,0.2,0.8,1.5,3.2
302,Rui Hachimura,PF,24,TOT,43,8,24.5,4.9,10.1,0.48,0.9,2.7,0.322,4.0,7.4,0.539,0.524,1.6,2.2,0.716,0.8,3.8,4.6,1.0,0.3,0.3,1.0,1.1,12.2
303,R.J. Hampton,PG,21,TOT,28,0,13.9,1.8,4.3,0.425,0.6,2.0,0.321,1.2,2.3,0.516,0.5,1.1,1.3,0.838,0.3,1.3,1.6,1.3,0.6,0.2,0.8,0.8,5.4
304,Josh Hart,SF-SG,27,TOT,57,51,32.7,3.7,7.2,0.517,0.8,2.3,0.35100000000000003,2.9,4.9,0.594,0.573,1.7,2.4,0.731,1.8,6.1,7.9,3.8,1.1,0.2,1.5,2.6,10.0
305,George Hill,PG,36,TOT,36,0,18.8,1.6,3.7,0.447,0.6,2.1,0.311,1.0,1.6,0.621,0.534,0.9,1.3,0.7390000000000001,0.4,1.5,1.9,2.5,0.6,0.1,0.8,1.1,4.9
306,Justin Holiday,SG,33,TOT,30,1,15.4,1.8,4.6,0.401,1.2,3.3,0.37799999999999995,0.6,1.3,0.462,0.536,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.4,4.9
307,Bones Hyland,PG,22,TOT,45,1,19.3,4.0,10.1,0.39799999999999996,2.1,5.6,0.38,1.9,4.6,0.42,0.502,1.7,2.0,0.8540000000000001,0.3,1.8,2.1,2.9,0.7,0.3,1.6,1.6,11.8
308,Kyrie Irving,PG,30,TOT,46,46,36.9,9.9,20.2,0.489,3.3,8.6,0.37799999999999995,6.6,11.6,0.5710000000000001,0.569,4.0,4.4,0.897,1.0,4.1,5.1,5.4,1.0,0.8,2.3,2.8,27.0
309,Reggie Jackson,PG,32,TOT,55,38,25.3,4.0,9.7,0.413,1.5,4.3,0.349,2.5,5.5,0.46299999999999997,0.49,1.2,1.3,0.914,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.7
310,Cameron Johnson,PF,26,TOT,22,21,26.1,5.0,10.8,0.466,2.6,6.3,0.41,2.5,4.5,0.545,0.586,1.7,2.1,0.809,0.7,3.0,3.7,1.5,1.0,0.4,0.5,1.7,14.4
311,Damian Jones,C,27,TOT,24,1,8.2,1.0,1.7,0.561,0.0,0.1,0.0,1.0,1.6,0.605,0.561,0.7,0.9,0.727,0.8,1.8,2.6,0.2,0.1,0.6,0.4,0.9,2.6
312,Frank Kaminsky,C,29,TOT,29,0,6.9,0.9,1.8,0.51,0.4,0.9,0.423,0.5,0.9,0.6,0.618,0.5,0.6,0.875,0.1,1.2,1.4,0.9,0.2,0.1,0.3,0.8,2.7
313,Luke Kennard,SG,26,TOT,38,11,20.8,2.8,5.9,0.465,1.7,3.8,0.462,1.0,2.2,0.47,0.611,0.6,0.6,0.958,0.2,2.1,2.3,1.1,0.5,0.1,0.8,1.4,7.9
314,Kevin Knox,PF-SF,23,TOT,46,1,13.3,1.8,4.0,0.46399999999999997,0.9,2.6,0.361,0.9,1.4,0.6559999999999999,0.5820000000000001,0.6,0.8,0.8,0.5,2.0,2.4,0.3,0.3,0.3,0.7,1.7,5.2
315,A.J. Lawson,SG,22,TOT,13,0,4.8,1.0,2.0,0.5,0.5,1.2,0.43799999999999994,0.5,0.8,0.6,0.635,0.1,0.2,0.33299999999999996,0.2,0.6,0.8,0.1,0.1,0.0,0.1,0.6,2.6
316,Saben Lee,PG,23,TOT,20,0,14.7,1.9,4.2,0.44,0.4,1.0,0.368,1.5,3.3,0.462,0.48200000000000004,1.7,2.3,0.7559999999999999,0.5,1.3,1.8,2.7,0.8,0.1,1.2,1.4,5.8
350,Kevin Love,PF,34,TOT,44,6,20.2,2.7,7.0,0.38299999999999995,1.7,4.9,0.34600000000000003,1.0,2.1,0.46799999999999997,0.503,1.3,1.5,0.892,1.0,5.9,7.0,1.9,0.2,0.2,1.1,1.6,8.4
